Ticket ID,Customer Query,Summary,Assigned Department,Action Type,Priority,Sentiment,Timestamp,Resolution_Steps,Resolution_Time_Actual
T11031,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Resolve at L1,Medium,Negative,10-08-2024 14:24,Provided link to password reset tool. Confirmed access restored.,339
T10282,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Escalate,Low,Positive,21-03-2024 04:42,Customer is cancelling and requesting full data deletion under GDPR. Route to Legal and Data Compliance team immediately.,846
T14091,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Follow-Up,Medium,Negative,19-10-2024 23:53,Cannot replicate user reported issue. Requested screen recording from customer.,263
T16684,I was overcharged by $235 this month. I need a refund immediately.,I was overcharged by $235 this month. I need a refund immediately.,Billing,Escalate,High,Negative,09-08-2024 10:02,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,88
T12106,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,High,Negative,07-08-2024 06:33,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,84
T19811,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Resolve at L1,Low,Negative,06-01-2024 22:49,Sent detailed steps for clearing cache and cookies. Advised customer to restart application.,1045
T16130,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Resolve at L1,Low,Negative,22-09-2024 14:05,Confirmed feature is deprecated. Directed customer to the new equivalent feature.,1209
T15906,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Follow-Up,Medium,Neutral,27-08-2024 11:57,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,363
T18961,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Follow-Up,Low,Positive,28-11-2024 07:34,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,1008
T13767,"My payment keeps failing, and I have late fees now. This is unacceptable and must be fixed as soon as possible.","My payment keeps failing, and I have late fees now. This is unacceptable and must be fixed as soon a...",Billing,Escalate,Medium,Negative,05-06-2024 04:44,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,427
T15463,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Follow-Up,Medium,Positive,25-01-2024 03:56,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,291
T18399,I need to pause my subscription for three months due to travel. What is the procedure for this request?,I need to pause my subscription for three months due to travel. What is the procedure for this reque...,Account Management,Resolve at L1,Medium,Neutral,16-05-2024 23:58,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,413
T13423,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Resolve at L1,Medium,Neutral,20-09-2024 06:49,Verified payment history; confirmed single charge was correct. Sent customer the payment confirmation receipt.,425
T16305,I was overcharged by $137 this month. I need a refund immediately.,I was overcharged by $137 this month. I need a refund immediately.,Billing,Resolve at L1,Medium,Negative,18-06-2024 20:13,Updated credit card details on file. Confirmed next payment date. Closed issue.,451
T13372,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Resolve at L1,Low,Neutral,03-08-2024 11:32,Verified payment history; confirmed single charge was correct. Sent customer the payment confirmation receipt.,1306
T19292,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,Low,Negative,09-05-2024 23:53,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,1150
T10741,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Low,Positive,03-04-2024 00:36,Completed name change on account profile. Sent confirmation email.,1120
T13593,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Resolve at L1,Low,Neutral,14-09-2024 22:12,Checked plan details and billing cycle. Explained fee structure. No further action required.,904
T13615,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,App Support,Escalate,Medium,Neutral,18-04-2024 17:50,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,348
T11321,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Follow-Up,High,Positive,15-12-2024 12:44,Initiated account transfer process. Awaiting confirmation from new account holder's email address.,45
T16645,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Medium,Positive,12-11-2024 15:25,Completed name change on account profile. Sent confirmation email.,486
T19853,I need to pause my subscription for three months due to travel. What is the procedure for this request?,I need to pause my subscription for three months due to travel. What is the procedure for this reque...,Account Management,Resolve at L1,High,Neutral,04-08-2024 18:32,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,85
T15427,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Escalate,High,Negative,06-10-2024 01:52,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,415
T16854,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Escalate,Low,Negative,20-06-2024 12:10,Customer is a high-value lead demanding immediate quote. Assign to VP of Sales.,1096
T14168,I need a detailed copy of my invoice for the month of April.,I need a detailed copy of my invoice for the month of April.,Billing,Resolve at L1,High,Neutral,29-01-2024 06:40,Checked plan details and billing cycle. Explained fee structure. No further action required.,87
T17210,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,Low,Negative,26-12-2024 05:27,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",1103
T17071,"The app shows an error code 404 whenever I try to submit a form, what does it mean and how can I fix it?","The app shows an error code 404 whenever I try to submit a form, what does it mean and how can I fix...",App Support,Follow-Up,High,Neutral,08-06-2024 13:47,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",83
T10331,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Escalate,Low,Negative,29-04-2024 22:25,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,1072
T19107,I want to cancel my subscription immediately. I've had a terrible experience with your service and customer care.,I want to cancel my subscription immediately. I've had a terrible experience with your service and c...,Account Management,Resolve at L1,Medium,Negative,24-11-2024 21:07,Completed name change on account profile. Sent confirmation email.,433
T16394,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Follow-Up,Low,Positive,07-03-2024 22:20,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,945
T11050,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Resolve at L1,High,Negative,13-07-2024 04:12,Provided link to password reset tool. Confirmed access restored.,39
T12064,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Resolve at L1,Medium,Positive,30-11-2024 17:55,Verified payment history; confirmed single charge was correct. Sent customer the payment confirmation receipt.,516
T19266,How can I change the primary contact name on my business account? I need to update it urgently.,How can I change the primary contact name on my business account? I need to update it urgently.,Account Management,Resolve at L1,Medium,Neutral,01-04-2024 11:18,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,360
T16424,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,High,Negative,02-08-2024 03:04,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,93
T17071,"The app shows an error code 404 whenever I try to submit a form, what does it mean and how can I fix it?","The app shows an error code 404 whenever I try to submit a form, what does it mean and how can I fix...",App Support,Follow-Up,High,Neutral,08-06-2024 13:47,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",83
T16420,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Escalate,Low,Neutral,14-07-2024 19:50,Customer is a high-value lead demanding immediate quote. Assign to VP of Sales.,854
T16560,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Escalate,Medium,Negative,05-08-2024 12:48,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,322
T19821,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Resolve at L1,Medium,Neutral,21-08-2024 22:56,Verified payment history; confirmed single charge was correct. Sent customer the payment confirmation receipt.,278
T16008,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Escalate,High,Negative,02-05-2024 11:09,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,63
T13333,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Escalate,High,Negative,28-12-2024 02:16,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,409
T19717,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Follow-Up,Medium,Negative,30-07-2024 23:59,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,494
T12721,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Medium,Positive,19-02-2024 23:34,Answered question about operating hours. Closed ticket.,424
T13449,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Medium,Positive,07-03-2024 20:25,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,358
T12320,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Follow-Up,Low,Neutral,24-11-2024 19:28,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,927
T19601,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Follow-Up,Medium,Negative,23-12-2024 00:52,Cannot replicate user reported issue. Requested screen recording from customer.,379
T15678,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,Low,Negative,19-03-2024 21:53,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",1018
T17691,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Escalate,Medium,Positive,20-06-2024 08:34,Customer is cancelling and requesting full data deletion under GDPR. Route to Legal and Data Compliance team immediately.,461
T18022,Do you offer services in the Tokyo region or only nationally? I am checking availability.,Do you offer services in the Tokyo region or only nationally? I am checking availability.,General Queries,Follow-Up,Low,Neutral,18-05-2024 06:18,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,989
T13706,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,28-07-2024 20:25,Answered question about operating hours. Closed ticket.,924
T18811,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Escalate,Medium,Negative,29-03-2024 11:23,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,396
T15744,Do you offer services in the San Francisco region or only nationally? I am checking availability.,Do you offer services in the San Francisco region or only nationally? I am checking availability.,General Queries,Follow-Up,Low,Neutral,29-10-2024 03:33,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,1165
T12362,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Resolve at L1,Low,Neutral,21-02-2024 01:35,Provided link to pricing page. Confirmed service availability in their city.,975
T11243,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Escalate,High,Neutral,21-01-2024 10:54,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,49
T18596,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,High,Negative,03-01-2024 21:03,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,36
T14070,Do you offer services in the Paris region or only nationally? I am checking availability.,Do you offer services in the Paris region or only nationally? I am checking availability.,General Queries,Resolve at L1,Low,Neutral,25-06-2024 06:25,Answered question about operating hours. Closed ticket.,1053
T14821,I was overcharged by $176 this month. I need a refund immediately.,I was overcharged by $176 this month. I need a refund immediately.,Billing,Resolve at L1,High,Negative,07-04-2024 17:03,Checked plan details and billing cycle. Explained fee structure. No further action required.,79
T12092,I was overcharged by $176 this month. I need a refund immediately.,I was overcharged by $176 this month. I need a refund immediately.,Billing,Follow-Up,Medium,Negative,29-04-2024 10:47,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,432
T19079,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Resolve at L1,Medium,Negative,28-03-2024 07:37,Sent detailed steps for clearing cache and cookies. Advised customer to restart application.,344
T16643,Do you offer services in the Sydney region or only nationally? I am checking availability.,Do you offer services in the Sydney region or only nationally? I am checking availability.,General Queries,Follow-Up,Low,Neutral,06-12-2024 19:38,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,1088
T14458,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,Medium,Negative,31-12-2024 10:05,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",445
T10402,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,14-10-2024 11:58,Provided link to pricing page. Confirmed service availability in their city.,1233
T18179,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Resolve at L1,Medium,Positive,10-12-2024 08:49,Checked plan details and billing cycle. Explained fee structure. No further action required.,314
T10755,I need to pause my subscription for three months due to travel. What is the procedure for this request?,I need to pause my subscription for three months due to travel. What is the procedure for this reque...,Account Management,Resolve at L1,Medium,Neutral,23-01-2024 12:45,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,393
T14268,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Follow-Up,Medium,Neutral,06-05-2024 23:16,Awaiting confirmation of address change from validation team. Contact customer for documentation.,424
T18400,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Resolve at L1,High,Positive,30-07-2024 13:44,Checked plan details and billing cycle. Explained fee structure. No further action required.,38
T14547,I was overcharged by $235 this month. I need a refund immediately.,I was overcharged by $235 this month. I need a refund immediately.,Billing,Follow-Up,Low,Negative,24-12-2024 06:14,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,1109
T17946,How can I change the primary contact name on my business account? I need to update it urgently.,How can I change the primary contact name on my business account? I need to update it urgently.,Account Management,Resolve at L1,Medium,Neutral,31-07-2024 21:25,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,409
T13428,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Resolve at L1,Low,Neutral,01-09-2024 01:47,Answered question about operating hours. Closed ticket.,987
T16810,I was overcharged by $235 this month. I need a refund immediately.,I was overcharged by $235 this month. I need a refund immediately.,Billing,Resolve at L1,Medium,Negative,22-12-2024 15:27,Verified payment history; confirmed single charge was correct. Sent customer the payment confirmation receipt.,330
T13038,I was overcharged by $176 this month. I need a refund immediately.,I was overcharged by $176 this month. I need a refund immediately.,Billing,Follow-Up,Low,Negative,22-04-2024 14:03,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,963
T11110,I need a detailed copy of my invoice for the month of September.,I need a detailed copy of my invoice for the month of September.,Billing,Escalate,Low,Neutral,07-01-2024 06:07,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,1090
T14354,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Follow-Up,High,Negative,21-12-2024 21:34,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,282
T15395,I need to pause my subscription for three months due to travel. What is the procedure for this request?,I need to pause my subscription for three months due to travel. What is the procedure for this reque...,Account Management,Resolve at L1,Medium,Neutral,03-07-2024 18:56,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,381
T11302,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Escalate,Medium,Negative,16-09-2024 07:23,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,353
T12727,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,Medium,Negative,08-04-2024 10:09,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,419
T17619,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,High,Negative,05-11-2024 07:06,Cannot replicate user reported issue. Requested screen recording from customer.,483
T17741,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Follow-Up,Low,Negative,04-06-2024 17:14,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,996
T16127,"I appreciate the quick resolution on my invoice issue, thank you.","I appreciate the quick resolution on my invoice issue, thank you.",Billing,Escalate,High,Positive,26-12-2024 04:34,Urgent: Customer reported double-charge resulting in overdraft. Immediately initiate full refund process and notify finance department.,48
T10722,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Follow-Up,Medium,Negative,17-11-2024 17:29,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,348
T16035,"The app shows an error code 101 whenever I try to submit a form, what does it mean and how can I fix it?","The app shows an error code 101 whenever I try to submit a form, what does it mean and how can I fix...",App Support,Follow-Up,Medium,Neutral,05-03-2024 22:29,Cannot replicate user reported issue. Requested screen recording from customer.,473
