Ticket ID,Customer Query,Summary,Assigned Department,Action Type,Priority,Sentiment,Timestamp,Resolution_Steps,Complexity_Score,Resolution_Time_Actual
T10049,I was overcharged by $457 this month. I need a refund immediately.,I was overcharged by $457 this month. I need a refund immediately.,Billing,Follow-Up,Medium,Negative,29-02-2024 03:08,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,5.62,73
T10050,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Low,Positive,06-03-2024 09:58,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,4.12,19
T10051,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Escalate,Medium,Negative,21-04-2024 13:36,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,5.62,157
T10052,I am frustrated I can't find clear pricing information on your website. This is poor transparency.,I am frustrated I can't find clear pricing information on your website. This is poor transparency.,General Queries,Follow-Up,Low,Negative,01-07-2024 10:30,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,5.62,79
T10053,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Follow-Up,High,Negative,29-12-2024 19:37,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,5.62,82
T10054,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Follow-Up,Medium,Neutral,26-06-2024 12:32,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,4.12,72
T10055,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Follow-Up,Medium,Negative,05-07-2024 15:24,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,5.62,77
T10056,Do you offer services in the Berlin region or only nationally? I am checking availability.,Do you offer services in the Berlin region or only nationally? I am checking availability.,General Queries,Follow-Up,Low,Neutral,25-02-2024 03:04,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,4.12,80
T10057,Please deactivate my old account and delete all associated data. I will not be returning to your services.,Please deactivate my old account and delete all associated data. I will not be returning to your ser...,Account Management,Resolve at L1,Medium,Negative,15-12-2024 09:51,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,5.62,21
T10058,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,App Support,Escalate,Medium,Neutral,01-09-2024 08:06,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,4.12,155
T10059,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Follow-Up,Low,Neutral,23-10-2024 16:10,Awaiting confirmation of address change from validation team. Contact customer for documentation.,4.12,75
T10060,I demand to know why my promotional discount was not applied to my last bill. This is a recurring issue.,I demand to know why my promotional discount was not applied to my last bill. This is a recurring is...,Billing,Follow-Up,Low,Negative,07-10-2024 18:56,Escalated to Billing Specialist for refund approval. Set reminder to follow up in 24 hours.,5.62,86
T10061,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Follow-Up,High,Negative,28-10-2024 13:18,Identified potential bug with latest patch. Logged issue in Jira and provided workaround.,5.62,79
T10062,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,App Support,Follow-Up,Low,Neutral,12-09-2024 08:24,Cannot replicate user reported issue. Requested screen recording from customer.,4.12,67
T10063,I need a detailed copy of my invoice for the month of May.,I need a detailed copy of my invoice for the month of May.,Billing,Resolve at L1,Low,Neutral,25-10-2024 17:08,Checked plan details and billing cycle. Explained fee structure. No further action required.,5.5,25
T10064,How can I change the primary contact name on my business account? I need to update it urgently.,How can I change the primary contact name on my business account? I need to update it urgently.,Account Management,Escalate,Low,Neutral,18-02-2024 17:59,Customer is cancelling and requesting full data deletion under GDPR. Route to Legal and Data Compliance team immediately.,4.12,147
T10065,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Escalate,Medium,Negative,13-04-2024 22:39,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,5.62,146
T10066,I need a detailed copy of my invoice for the month of March.,I need a detailed copy of my invoice for the month of March.,Billing,Resolve at L1,Low,Neutral,01-06-2024 00:55,Verified payment history; confirmed single charge was correct. Sent customer the payment confirmation receipt.,4.12,19
T10067,What are your general customer support operating hours? I need to know when I can call.,What are your general customer support operating hours? I need to know when I can call.,General Queries,Resolve at L1,Low,Neutral,14-05-2024 01:16,Provided link to pricing page. Confirmed service availability in their city.,4.12,27
T10068,I demand to know why my promotional discount was not applied to my last bill. This is a recurring issue.,I demand to know why my promotional discount was not applied to my last bill. This is a recurring is...,Billing,Follow-Up,High,Negative,01-08-2024 08:09,Awaiting confirmation of address change from validation team. Contact customer for documentation.,5.62,85
T10069,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Can you clarify the tax breakdown on my last payment? It seems unusually high.,Billing,Follow-Up,Low,Neutral,03-12-2024 18:34,Awaiting confirmation of address change from validation team. Contact customer for documentation.,4.12,81
T10070,Do you offer services in the London region or only nationally? I am checking availability.,Do you offer services in the London region or only nationally? I am checking availability.,General Queries,Follow-Up,Low,Neutral,24-06-2024 06:49,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,4.12,77
T10071,"The app shows an error code 403 whenever I try to submit a form, what does it mean and how can I fix it?","The app shows an error code 403 whenever I try to submit a form, what does it mean and how can I fix...",App Support,Follow-Up,Low,Neutral,12-06-2024 23:12,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",5.5,75
T10072,I need help configuring my email client with your server settings. Can you provide the detailed guide?,I need help configuring my email client with your server settings. Can you provide the detailed guid...,Technical Support,Escalate,High,Neutral,30-03-2024 07:58,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,6.5,163
T10073,Please deactivate my old account and delete all associated data. I will not be returning to your services.,Please deactivate my old account and delete all associated data. I will not be returning to your ser...,Account Management,Resolve at L1,Medium,Negative,14-03-2024 13:24,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,5.62,34
T10074,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Resolve at L1,Medium,Positive,07-05-2024 18:53,Sent detailed steps for clearing cache and cookies. Advised customer to restart application.,4.12,21
T10075,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Follow-Up,High,Negative,26-08-2024 13:58,Cannot replicate user reported issue. Requested screen recording from customer.,5.62,79
T10076,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,High,Negative,31-01-2024 13:08,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,7,156
T10077,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Resolve at L1,Medium,Positive,30-01-2024 13:20,Sent detailed steps for clearing cache and cookies. Advised customer to restart application.,4.12,21
T10078,Do you offer services in the Tokyo region or only nationally? I am checking availability.,Do you offer services in the Tokyo region or only nationally? I am checking availability.,General Queries,Resolve at L1,Low,Neutral,18-11-2024 03:20,Answered question about operating hours. Closed ticket.,4.12,18
T10079,Do you offer services in the Paris region or only nationally? I am checking availability.,Do you offer services in the Paris region or only nationally? I am checking availability.,General Queries,Resolve at L1,Medium,Neutral,30-07-2024 19:38,Provided link to pricing page. Confirmed service availability in their city.,4.12,14
T10080,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Resolve at L1,Low,Positive,17-09-2024 11:15,Answered question about operating hours. Closed ticket.,4.12,27
T10081,The mobile app crashes every time I try to open the settings menu. This makes the app completely unusable.,The mobile app crashes every time I try to open the settings menu. This makes the app completely unu...,App Support,Resolve at L1,Medium,Negative,07-01-2024 01:53,Provided link to FAQ on error code 403. Suggested reinstallation of the mobile application.,5.62,22
T10082,I need to pause my subscription for three months due to travel. What is the procedure for this request?,I need to pause my subscription for three months due to travel. What is the procedure for this reque...,Account Management,Resolve at L1,High,Neutral,17-04-2024 08:11,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,4.12,19
T10083,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Resolve at L1,Medium,Positive,20-12-2024 11:37,Sent detailed steps for clearing cache and cookies. Advised customer to restart application.,4.12,17
T10084,What are the recommended port forwarding settings for my new router so I can configure my devices correctly?,What are the recommended port forwarding settings for my new router so I can configure my devices co...,Technical Support,Escalate,Medium,Neutral,26-09-2024 12:40,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,5.13,158
T10085,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent support and quick response.,The technical issue I reported yesterday has been completely fixed! Thank you for the excellent supp...,Technical Support,Follow-Up,High,Positive,23-10-2024 18:59,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,4.12,70
T10086,I am frustrated I can't find clear pricing information on your website. This is poor transparency.,I am frustrated I can't find clear pricing information on your website. This is poor transparency.,General Queries,Resolve at L1,Low,Negative,18-05-2024 20:59,Answered question about operating hours. Closed ticket.,5.62,28
T10087,Do you offer services in the Sydney region or only nationally? I am checking availability.,Do you offer services in the Sydney region or only nationally? I am checking availability.,General Queries,Follow-Up,Low,Neutral,22-07-2024 00:26,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,4.12,63
T10088,"I'm interested in your Pro services, can you send me a detailed quote and service agreement?","I'm interested in your Pro services, can you send me a detailed quote and service agreement?",General Queries,Follow-Up,Low,Positive,28-10-2024 22:02,Forwarded pre-sales inquiry to a sales representative. Set internal follow-up to ensure contact.,4.12,68
T10089,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,Medium,Negative,02-08-2024 06:54,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",8,77
T10090,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Follow-Up,High,Positive,23-03-2024 18:24,Initiated account transfer process. Awaiting confirmation from new account holder's email address.,4.12,66
T10091,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Follow-Up,Medium,Negative,30-04-2024 19:09,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",8,85
T10092,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,High,Negative,28-09-2024 05:40,Escalate to Development: Confirmed system bug is affecting multiple customers. Requires code fix ASAP.,5.62,153
T10093,Do you offer services in the Berlin region or only nationally? I am checking availability.,Do you offer services in the Berlin region or only nationally? I am checking availability.,General Queries,Resolve at L1,Medium,Neutral,31-10-2024 08:51,Answered question about operating hours. Closed ticket.,4.12,18
T10094,"My internet has been down for over 5 hours. This is unacceptable service, especially since I work from home and rely on it.","My internet has been down for over 5 hours. This is unacceptable service, especially since I work fr...",Technical Support,Resolve at L1,Medium,Negative,16-05-2024 07:48,Sent detailed steps for clearing cache and cookies. Advised customer to restart application.,5.62,22
T10095,I am frustrated I can't find clear pricing information on your website. This is poor transparency.,I am frustrated I can't find clear pricing information on your website. This is poor transparency.,General Queries,Resolve at L1,Medium,Negative,24-03-2024 17:05,Answered question about operating hours. Closed ticket.,5.62,19
T10096,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,I cannot find the 'export data' option in the mobile application's menu. Can you guide me?,App Support,Follow-Up,Medium,Neutral,19-01-2024 05:56,Cannot replicate user reported issue. Requested screen recording from customer.,4.12,62
T10097,"The app shows an error code 101 whenever I try to submit a form, what does it mean and how can I fix it?","The app shows an error code 101 whenever I try to submit a form, what does it mean and how can I fix...",App Support,Follow-Up,Medium,Neutral,27-07-2024 00:23,"Logged app crash details (device model, OS version). Passed to QA for replication. Set 72-hour internal follow-up.",5.5,85
T10098,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Escalate,High,Negative,07-06-2024 09:21,CRITICAL OUTAGE: Assigned to Network Operations Team. Customer site is fully down. Monitoring in 5 min intervals.,7,168
T10099,"I'd like to upgrade to the premium package starting today, please proceed with the necessary account changes now.","I'd like to upgrade to the premium package starting today, please proceed with the necessary account...",Account Management,Resolve at L1,Medium,Positive,12-12-2024 22:44,Successfully downgraded plan to Basic tier. Confirmed data retention policy with customer.,4.12,14
T10100,"The latest app update introduced a massive bug that prevents me from saving my work, please rollback or fix immediately.","The latest app update introduced a massive bug that prevents me from saving my work, please rollback...",App Support,Escalate,Medium,Negative,09-11-2024 20:11,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,6.63,159
T10101,"The app shows an error code 404 whenever I try to submit a form, what does it mean and how can I fix it?","The app shows an error code 404 whenever I try to submit a form, what does it mean and how can I fix...",App Support,Escalate,Medium,Neutral,02-05-2024 16:44,App is crashing universally after latest release. Suspend deployment and notify all QA leads.,4.12,147
T10102,"I am constantly getting a 'server connection failed' error. Your product is unusable, please fix this permanently.","I am constantly getting a 'server connection failed' error. Your product is unusable, please fix thi...",Technical Support,Follow-Up,Medium,Negative,23-04-2024 02:19,Ran remote diagnostic on connection status. Found intermittent signal loss; scheduled Tier 2 engineer callback.,5.62,80
T10103,I demand to know why my promotional discount was not applied to my last bill. This is a recurring issue.,I demand to know why my promotional discount was not applied to my last bill. This is a recurring is...,Billing,Resolve at L1,High,Negative,24-11-2024 09:48,Verified payment history; confirmed single charge was correct. Sent customer the payment confirmation receipt.,5.62,24
